RUM1,RUM2,RUM3,RUM4,RUM5,RUM6,RUM7,RUM8,RUM9,RUM10,RUM11,RUM12,MARS3_1,MARS4_1,MARS5_1,MARS10_1,MARS13_1,MESI1_1,MESI2_1,MESI3_1,MESI4_1,MESI5_1,MESI6_1,MESI7_1,TAS1_1,TAS2_1,TAS3_1,TAS4_1,TAS5_1,TAS6_1,TAS7_1,TAS8_1,TAS9_1,TAS10_1,TAS11_1,TAS12_1,TAS13_1,TAS14_1,TAS15_1,TAS16_1,TAS17_1,TAS18_1,TAS19_1,TAS20_1,DERS1_1,DERS2_1,DERS3_1,DERS4_1,DERS5_1,DERS6_1,DERS7_1,DERS8_1,DERS9_1,DERS10_1,DERS11_1,DERS12_1,DERS13_1,DERS14_1,DERS15_1,DERS16_1,DASS1_1,DASS2_1,DASS3_1,DASS4_1,DASS5_1,DASS6_1,DASS7_1,DASS8_1,DASS9_1,DASS10_1,DASS11_1,DASS12_1,DASS13_1,DASS14_1,DASS15_1,DASS16_1,DASS17_1,DASS18_1,DASS19_1,DASS20_1,DASS21_1,Age,Gender,Ethnicity,EthnicityOther,MusicExperience1,Yearsplayed,HoursListened,Genre,GenreOther,SadSong,SadSongWhy,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
4,4,5,4,4,4,3,4,5,3,4,4,4,2,3,3,3,2,3,4,3,3,4,4,4,4,4,5,4,4,4,4,3,3,3,3,5,3,4,3,5,4,3,3,3,4,3,4,3,2,4,3,5,4,4,4,4,4,4,4,2,2,3,3,2,2,2,1,0,1,1,2,0,1,2,0,2,1,1,1,1,7,0,0,,0,,2,2,,Adele - rolling in the deep,Perks you up,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Rolling in the Deep,1eq1wUnLVLg4pdEfx9kajC,Adele,21,https://i.scdn.co/image/26007fcd7781ea9222b23ab3654ba86f60dd6e18,2018-12-29T17:16:49Z,73,https://p.scdn.co/mp3-preview/b2ba47ab9af2b4cd08a04e45b94803bd076c209d?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/1eq1wUnLVLg4pdEfx9kajC,0.73,0.77,G#,-5.114,major,0.0298,0.138,0,0.0473,0.507,104.948,228093,4,G# major
4,4,3,4,4,2,4,4,4,4,4,3,4,2,4,3,3,1,3,4,3,2,1,2,2,2,1,4,4,4,2,2,2,4,2,2,2,2,2,3,2,4,2,2,2,1,4,3,3,3,4,2,2,2,2,2,2,2,4,4,1,1,1,1,1,2,0,1,3,1,0,1,1,1,3,0,0,1,1,2,0,6,1,0,,0,,2,11,,Adventure of a Lifetime - Coldplay,Makes me happy ,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M,Coldplay,A Head Full Of Dreams,https://i.scdn.co/image/9c2c4a9ac9726bfd996ff96383178bbb5efc59ab,2018-12-29T17:23:07Z,74,https://p.scdn.co/mp3-preview/f5c8203c517a906dd581e0faeca84d1e0206c8b6?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,0.638,0.924,G,-3.887,major,0.0359,0.00205,1.73E-04,0.149,0.529,111.995,263787,4,G major
4,4,5,4,4,1,4,4,1,2,4,4,4,2,4,1,2,2,4,2,0,1,1,1,1,4,2,2,4,2,2,2,2,4,2,2,2,1,2,1,4,4,4,2,1,2,4,2,4,4,4,4,2,4,3,2,4,4,4,2,2,1,1,0,2,0,2,0,2,2,1,2,1,1,0,2,1,0,1,0,0,3,1,0,,0,,1,11,,All of me - John Legend,I like it and its lifts my mood,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),https://i.scdn.co/image/c8158793e47b777c99792cf8b4886807417589b0,2018-12-29T16:07:48Z,83,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,0.422,0.264,G#,-7.064,major,0.0322,0.922,0,0.132,0.331,119.93,269560,4,G# major
4,5,4,5,4,1,5,5,2,1,5,4,5,4,4,2,5,4,4,3,2,3,3,2,2,4,2,1,4,2,4,3,4,5,4,1,2,1,4,5,4,4,3,1,4,4,5,2,4,3,4,2,2,2,1,3,4,4,4,5,0,1,1,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,1,0,0,,1,1,2,5,,Allstar - Smash Mouth,Upbeat,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,All Star,3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,Astro Lounge,https://i.scdn.co/image/ede1f1d01b8024ef1f9ae3fea1b25bfe083783bd,2018-12-29T16:46:34Z,80,NA,https://open.spotify.com/track/3cfOd4CMv2snFaKAnMdnvK,0.731,0.861,B,-5.881,major,0.0323,0.0319,0,0.0829,0.78,104.034,200373,4,B major
2,3,2,4,4,2,4,3,4,2,2,2,3,1,1,1,3,3,4,4,5,2,3,2,1,1,1,3,3,1,1,3,1,3,1,2,1,1,2,3,2,5,3,3,3,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,0,"0,1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,,1,1,2,6,,Angela - To-Go,It's mellow and relaxing. Not too loud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,4,4,2,4,4,2,4,2,1,1,5,2,2,4,4,5,4,5,4,5,5,1,1,5,5,4,1,2,1,1,5,1,3,4,1,1,1,2,5,5,2,1,1,5,1,1,1,4,1,1,2,1,1,1,1,4,4,1,1,0,0,0,0,1,1,0,2,0,2,1,0,0,1,0,0,3,0,1,7,0,0,,0,,2,15,Ambient ,"Anonymous 4 - Dame, Que Je N'Os Noumer","There's such powerful emotion in the singing, it reminds me that other people feel the same intensity of emotion as I am feeling at that time. It makes me feel normal, and connected to others.",Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,"Dame que je n’os noumer (Motet from the Montpellier Codex, 13th c.): Dame que je n’os noumer (Motet from the Montpellier Codex, 13th c.)",7bl8dcLZAa9NdtK0VHOKBT,Anonymous,Early Music Masterpieces,https://i.scdn.co/image/e64c39f10d2f8dfea7af9538a1a3ab2ed183a1b9,2018-12-29T17:26:32Z,2,https://p.scdn.co/mp3-preview/7e9a0af70793e574dec11606060784f7942d7f11?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/7bl8dcLZAa9NdtK0VHOKBT,0.138,0.00589,A,-30.839,minor,0.0528,0.992,0.00892,0.0756,0.0389,83.013,276027,1,A minor
4,4,5,4,4,2,4,4,1,4,4,5,4,3,3,1,3,5,4,5,5,2,4,4,3,4,1,2,5,4,4,2,4,5,4,4,4,3,3,4,2,4,2,2,4,3,4,2,4,4,4,5,2,5,5,2,4,4,4,2,1,2,1,1,2,1,2,1,2,1,1,0,0,0,0,0,1,0,1,1,0,5,0,0,,1,4,3,13,,Anxious - Tangina Stone,Music that expresses how I'm feeling,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Anxious,27djGBGURVSSC2jczzwiHJ,Tangina Stone,Elevate,https://i.scdn.co/image/25861d28ecac97cb2e5282728efc00be93901878,2018-12-29T17:27:53Z,22,https://p.scdn.co/mp3-preview/b266e195f90849ca3cbec8fee1fa5dbc16f39f1a?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/27djGBGURVSSC2jczzwiHJ,0.527,0.455,A#,-9.397,minor,0.0449,0.0792,0,0.117,0.178,109.876,206773,4,A# minor
1,1,1,1,1,4,1,1,4,4,1,1,1,1,1,1,1,0,0,4,0,0,0,0,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,,3,15,None/I listen to anything,Any song that is sad,Because it matches my emotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,5,4,2,4,2,4,4,4,2,2,4,1,1,4,5,5,4,4,1,5,5,5,4,1,2,5,4,4,5,4,4,3,4,2,4,2,4,4,5,4,4,4,2,4,3,2,4,5,1,2,4,5,4,2,4,5,4,2,1,1,0,1,2,0,1,2,2,1,1,0,1,1,1,2,1,0,0,1,1,0,0,,1,1,6,11,,Ariana Grande - One last time,It explores me as a person. The good days and the bad days.,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,One Last Time,7xoUc6faLbCqZO6fQEYprd,Ariana Grande,My Everything (Deluxe),https://i.scdn.co/image/7317e854667da26446576a747d1efe8d9d58e92d,2018-12-29T18:13:41Z,82,NA,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,0.628,0.593,G#,-5.036,major,0.0323,0.093,1.65E-06,0.096,0.104,125.026,197267,4,G# major
4,3,5,5,5,1,5,4,4,4,5,4,1,1,1,2,2,3,5,5,5,5,5,5,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,5,4,5,5,4,4,3,4,5,4,4,5,4,5,4,5,4,4,5,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,2,7,1,0,,0,,4,5,,asleep- the smiths,its one of the saddestsongs,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Asleep - 2011 Remastered Version,7LZgdL0MxiElfaKZbuuE4l,The Smiths,Louder Than Bombs,https://i.scdn.co/image/52e6c7a8c4193b0c9659153cecfc1f3435cc0c34,2018-12-29T17:23:46Z,58,https://p.scdn.co/mp3-preview/b62a08b69de2f7b1c05d7493b07762626fd5f9cb?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/7LZgdL0MxiElfaKZbuuE4l,0.512,0.255,C,-15.867,major,0.0291,0.88,0.532,0.146,0.215,115.144,253560,3,C major
