RUM1,RUM2,RUM3,RUM4,RUM5,RUM6,RUM7,RUM8,RUM9,RUM10,RUM11,RUM12,MARS3_1,MARS4_1,MARS5_1,MARS10_1,MARS13_1,MESI1_1,MESI2_1,MESI3_1,MESI4_1,MESI5_1,MESI6_1,MESI7_1,TAS1_1,TAS2_1,TAS3_1,TAS4_1,TAS5_1,TAS6_1,TAS7_1,TAS8_1,TAS9_1,TAS10_1,TAS11_1,TAS12_1,TAS13_1,TAS14_1,TAS15_1,TAS16_1,TAS17_1,TAS18_1,TAS19_1,TAS20_1,DERS1_1,DERS2_1,DERS3_1,DERS4_1,DERS5_1,DERS6_1,DERS7_1,DERS8_1,DERS9_1,DERS10_1,DERS11_1,DERS12_1,DERS13_1,DERS14_1,DERS15_1,DERS16_1,DASS1_1,DASS2_1,DASS3_1,DASS4_1,DASS5_1,DASS6_1,DASS7_1,DASS8_1,DASS9_1,DASS10_1,DASS11_1,DASS12_1,DASS13_1,DASS14_1,DASS15_1,DASS16_1,DASS17_1,DASS18_1,DASS19_1,DASS20_1,DASS21_1,Age,Gender,Ethnicity,EthnicityOther,MusicExperience1,Yearsplayed,HoursListened,Genre,GenreOther,SadSong,SadSongWhy,playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_added_at,track_popularity,track_preview_url,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
3,5,2,3,5,1,5,5,2,3,5,5,1,1,2,2,2,5,5,5,4,4,5,5,2,3,1,3,5,4,3,4,4,3,3,5,2,2,4,2,2,4,4,2,3,2,4,3,3,4,3,4,3,2,4,2,2,4,2,2,1,1,1,0,0,0,0,1,2,1,2,1,1,0,1,2,0,0,0,0,0,6,0,0,,1,4,4,6,,Atmosphere - Joy Division,Fits my mood,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Atmosphere,0NBgmP6Yg5xZYsnIZ0pGdo,Joy Division,The Best Of,https://i.scdn.co/image/0acebc13e7e7d4a1ce7c6cbe6cac9b88cd9ec6ba,2018-12-29T17:28:10Z,55,https://p.scdn.co/mp3-preview/8f3bcb9ed77cc99189fd568aff5ac4a91fd1214b?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/0NBgmP6Yg5xZYsnIZ0pGdo,0.565,0.467,F#,-10.078,major,0.0303,0.165,0.284,0.0808,0.426,120.172,250413,4,F# major
4,5,5,4,4,2,4,5,2,2,4,5,1,6,4,3,4,5,5,3,5,5,5,5,3,4,1,2,4,1,1,2,1,5,3,1,1,2,3,3,4,5,4,1,1,1,4,4,4,5,4,3,5,5,4,4,4,5,5,5,2,1,1,3,2,2,3,3,3,2,3,3,2,2,2,1,3,1,2,2,3,5,1,1,,1,2,4,12,,Banana Pancakes - Jack Johnson,"Even though it's not one of my favourite genres, it is because it has a calming melody to it.",Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Banana Pancakes,0BgbobvykXxEvxo2HhCuvM,Jack Johnson,In Between Dreams,https://i.scdn.co/image/a1ce350c09bb67f73f5f0b440c0cf9781a624b4b,2018-12-29T17:22:06Z,69,NA,https://open.spotify.com/track/0BgbobvykXxEvxo2HhCuvM,0.814,0.373,G,-8.017,major,0.116,0.602,1.75E-05,0.0931,0.632,114.55,191907,4,G major
4,5,5,4,5,2,5,5,2,2,4,5,2,2,2,2,4,4,5,4,3,4,4,4,4,4,1,2,3,4,3,1,4,4,4,1,4,2,5,2,5,5,4,4,4,4,5,3,2,2,4,4,2,4,2,2,5,4,5,5,1,3,0,2,2,1,2,2,2,1,2,1,0,1,1,1,0,1,2,1,0,3,1,0,,0,,3,8,,Beer Can- Luke Combs,Upbeat and Happy,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Beer Can,5k8m3ZCp3AP4TKd2IKzKO8,Luke Combs,This One's for You,https://i.scdn.co/image/ba466926aa9c36079ab3e3ec3dd26c983c01908b,2018-12-29T17:23:15Z,59,https://p.scdn.co/mp3-preview/d17381d1f66d19cd20a32a2adc5131bf8fe81760?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/5k8m3ZCp3AP4TKd2IKzKO8,0.543,0.836,G,-5.42,major,0.0452,0.00314,0,0.0737,0.75,147.986,210920,4,G major
3,4,4,5,4,2,5,5,2,3,3,5,2,3,1,1,4,4,4,4,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,1,2,3,12,,Beethoven,Helps me reflect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,4,4,2,4,5,4,2,4,3,1,1,2,1,1,5,5,5,5,5,5,5,2,2,1,4,4,1,1,4,2,4,2,2,1,1,2,1,1,5,5,2,1,1,1,4,3,4,4,2,4,4,4,3,3,4,4,4,1,2,1,1,0,2,0,0,1,3,1,1,1,1,0,1,2,1,1,1,2,4,1,0,,1,1,3,14,,birdy - tshirt,helps me feel better,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Tee Shirt,3dOfm343RrEFk1u0UIMhsy,Birdy,The Fault In Our Stars: Music From The Motion Picture,https://i.scdn.co/image/51c994815e736fa0a94e03f69661be5a994a961b,2018-12-29T17:58:43Z,43,https://p.scdn.co/mp3-preview/6fccf47f5dde2b23f3f6a5303a99f6c65089828d?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/3dOfm343RrEFk1u0UIMhsy,0.684,0.341,A,-9.497,major,0.0272,0.837,2.69E-05,0.0883,0.557,75.948,159507,4,A major
4,2,2,4,4,2,4,4,2,2,2,4,2,1,1,1,1,1,5,4,2,5,5,5,1,1,1,5,2,1,1,1,1,5,2,1,1,1,2,1,1,5,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,4,2,0,1,0,1,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,,0,,6,7,,Blinding-Florence and the machine ,It relaxes me ,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Blinding,4N5OZKcYwaPOCug2kyTYCV,Florence + The Machine,Lungs (Deluxe Version),https://i.scdn.co/image/7ad63e19cb6296a0e85f1c5e020bab5bd8af9dfa,2018-12-29T17:20:20Z,46,NA,https://open.spotify.com/track/4N5OZKcYwaPOCug2kyTYCV,0.516,0.79,A,-6.104,minor,0.0391,0.117,0.0157,0.72,0.248,107.982,280067,4,A minor
3,4,4,5,5,1,5,5,1,1,5,5,1,1,2,2,2,5,3,4,2,2,2,3,4,3,1,4,4,2,2,1,2,5,2,1,1,1,3,2,3,4,5,2,2,2,4,1,1,4,4,3,1,4,2,2,5,4,4,5,0,0,0,0,3,1,0,1,1,0,2,1,1,0,1,0,0,1,1,1,2,3,1,0,,0,,3,6,,Blur - No Distance Left To Run,"Feel like it's mellow, makes me know that other people feel the same sometimes",Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,No Distance Left To Run,0SaRvx9eYudSCQYNjuCQKX,Blur,13,https://i.scdn.co/image/ec5fa3225d06079e09648864c31df034005b4e19,2018-12-29T18:09:36Z,37,https://p.scdn.co/mp3-preview/b32a6cb5ed3a5af55d0b324398de644b6d1fbede?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/0SaRvx9eYudSCQYNjuCQKX,0.419,0.208,G,-14.751,major,0.0339,0.722,0.0318,0.108,0.108,148.07,208267,3,G major
3,4,4,5,4,2,4,5,2,1,5,5,2,2,1,1,2,5,5,5,3,4,5,4,4,5,4,2,4,4,2,4,4,3,4,4,3,2,4,3,4,4,5,4,4,4,5,2,4,5,4,3,3,4,3,2,4,5,4,3,2,2,0,1,2,0,0,2,2,0,1,1,1,1,1,1,0,0,0,0,0,2,0,0,,1,1,5,6,,Bon Iver - Flume,It's kind of sad yet optimistic ,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Flume,7xDydFFgyOYit7yAUsRhrI,Bon Iver,"For Emma, Forever Ago",https://i.scdn.co/image/ad034d9c04a3724c8bf4745a460eb22f06fceddf,2018-12-29T17:32:54Z,60,https://p.scdn.co/mp3-preview/6b71090ce5400a511df72a0c668c0b79ea0a27b2?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/7xDydFFgyOYit7yAUsRhrI,0.437,0.143,B,-17.012,major,0.0329,0.927,0.0336,0.109,0.0868,132.87,219000,4,B major
4,4,4,5,4,2,4,4,2,2,4,4,4,1,2,3,4,4,4,4,4,2,3,3,4,4,1,3,4,4,3,3,4,4,4,4,3,4,5,4,5,4,3,3,4,4,4,2,3,4,4,2,2,3,4,4,4,4,4,4,2,"0,2",1,3,3,2,2,2,2,2,3,3,2,1,2,2,2,2,3,2,1,5,1,0,,1,2,3,13,,Broken Strings - James Morrison,"Sad song, slow and medium pace",Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Broken Strings,6jBUP2KCe821yqf1hiBqPR,James Morrison,"Songs For You, Truths For Me (International Exclusive Bundle)",https://i.scdn.co/image/07b9ba753d53c4d32ee471504864974e4a4aa30f,2018-12-29T17:24:06Z,70,NA,https://open.spotify.com/track/6jBUP2KCe821yqf1hiBqPR,0.57,0.717,C#,-4.914,major,0.029,0.00967,0,0.0833,0.321,111.91,250453,4,C# major
3,4,4,5,4,2,5,5,2,1,4,2,3,2,1,3,3,5,5,5,2,2,5,5,4,4,3,2,4,1,2,5,4,5,5,5,4,2,3,2,5,5,4,3,4,4,5,5,5,4,5,2,4,4,4,2,4,5,5,5,2,0,2,1,3,1,0,1,1,3,2,2,3,2,1,3,1,2,0,1,1,1,0,0,,1,2,4,14,,Calfornication- red hot chilli peppers,It makes me happy,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,Californication (Deluxe Version),https://i.scdn.co/image/260c7a6da14bb13a4cc9e75bf5b549fb87fa22a9,2018-12-29T16:44:54Z,79,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,0.592,0.767,A,-2.788,minor,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4,A minor
4,2,3,4,4,2,5,5,2,3,4,5,2,2,3,3,2,4,4,5,4,4,5,5,3,4,2,2,4,3,4,4,5,4,3,2,3,5,5,5,4,5,4,3,4,4,3,2,2,1,3,2,2,4,4,2,3,3,2,2,0,1,0,0,1,1,0,0,2,1,0,1,0,1,0,2,1,0,1,1,0,3,0,0,,1,3,6,14,,Calling TheFatRat,Its my favourite song ,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,The Calling,2k1bFfcPIRTMeCGO48F0OE,TheFatRat,The Calling,https://i.scdn.co/image/b36281bbadc18d7d7f33253cde00b99d3930d9d0,2018-12-29T18:13:16Z,56,https://p.scdn.co/mp3-preview/ccee7fc5abf43692faa6ad0650371b6b719a9ea6?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/2k1bFfcPIRTMeCGO48F0OE,0.672,0.504,B,-8.284,minor,0.0322,0.423,0.00885,0.117,0.109,109.998,233591,4,B minor
4,4,4,5,5,2,4,5,1,1,4,5,3,3,4,3,1,4,5,5,0,4,4,4,5,5,3,2,4,4,2,2,4,4,4,2,4,3,3,1,5,3,4,4,4,5,5,3,5,4,5,5,4,4,2,2,5,5,5,5,2,2,3,0,2,2,0,2,3,3,3,2,3,2,1,2,3,2,1,2,3,4,1,0,,1,2,5,15,Punk,Cancer - My Chemical Romance,It makes me cry and i need that to feel better,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Cancer,0GgN4MhR5GKn5IcKN0e0rG,My Chemical Romance,The Black Parade,https://i.scdn.co/image/767fd98433e0d4ad11bc0e8edf605872bcb7a02c,2018-12-29T17:31:48Z,62,https://p.scdn.co/mp3-preview/50bf456258ce03bf6a1f95f0d3e56c0d27122841?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/0GgN4MhR5GKn5IcKN0e0rG,0.457,0.515,E,-4.31,major,0.0261,0.358,0,0.278,0.222,74.984,142973,4,E major
4,4,5,4,5,2,4,4,2,2,2,2,1,1,3,2,4,4,5,5,2,4,4,4,1,2,1,4,4,2,1,1,1,5,1,1,2,4,4,2,2,5,2,2,2,2,5,4,4,4,5,5,4,5,4,4,5,5,5,5,1,0,1,0,1,2,0,1,0,0,1,2,1,1,0,2,2,2,0,0,0,4,1,0,,1,3,3,14,,Cant help falling in love-elvis,As it is a gently song i can sing along to and reminds me of happier times,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC,Elvis Presley,Blue Hawaii,https://i.scdn.co/image/4295b5ff74d4f944367144acbe616b6f62d20b17,2018-12-29T17:18:41Z,76,https://p.scdn.co/mp3-preview/26e409b39a2da6dc18fab61020c90be2938dc0e9?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC,0.428,0.244,D,-15.447,major,0.0269,0.953,1.44E-04,0.102,0.39,100.495,179773,3,D major
4,3,5,4,5,2,4,5,2,1,4,5,1,1,1,1,1,4,5,4,4,5,5,4,3,4,5,2,4,5,2,5,4,5,4,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,5,4,5,4,5,5,4,4,4,5,0,2,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,0,2,3,3,5,1,0,,1,1,3,2,,Caro Emerald- I know that hes mine,I just ike the lyrics of it,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,I Know That He's Mine,6LOlBJrSyfbvtO40DeFJVE,Caro Emerald,Deleted Scenes From The Cutting Room Floor,https://i.scdn.co/image/e7ce95532a374266d57d5cdd28c513e254ac93c8,2018-12-29T17:39:25Z,26,https://p.scdn.co/mp3-preview/04d533308d424475ab672afacdd88ce39a73db3e?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/6LOlBJrSyfbvtO40DeFJVE,0.807,0.589,D,-4.271,minor,0.128,0.271,0.0071,0.0976,0.591,78.015,257160,4,D minor
2,4,3,4,3,2,4,3,2,4,4,5,6,3,4,3,3,4,4,4,2,4,2,4,4,4,1,2,4,4,2,4,4,2,4,4,4,2,4,4,4,2,4,2,4,4,4,2,2,2,4,4,2,4,4,3,5,2,4,4,1,1,0,0,2,1,0,0,2,0,0,1,2,1,0,1,2,1,0,0,0,5,1,0,,0,,3,11,,Chasing pavements - adele,Very emotional and help you get it all out,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Chasing Pavements,2OuNgtXKeCSORKqdl0MxKk,Adele,19,https://i.scdn.co/image/e41dab5ebef48cb4958971b5714880f95e6575f4,2018-12-29T17:32:08Z,66,https://p.scdn.co/mp3-preview/01f478160da6ab365f649f3445e6a72f0bb51e01?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/2OuNgtXKeCSORKqdl0MxKk,0.614,0.471,F,-6.087,minor,0.0256,0.318,0,0.11,0.32,80.024,210507,4,F minor
1,2,2,4,3,2,4,4,2,2,4,4,2,2,2,2,2,4,4,4,4,4,5,5,1,1,1,3,2,4,4,2,3,4,4,4,2,1,2,2,4,4,4,4,4,4,2,1,1,1,1,4,1,4,1,2,4,4,2,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,,1,1,3,12,,Congratulations - Post Malone,It picks me up and makes me happier,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Stoney (Deluxe),https://i.scdn.co/image/6d4881dd0c8aca50307fa7497695e459f09964c6,2018-12-29T16:44:35Z,85,NA,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,0.63,0.804,F#,-4.183,major,0.0363,0.215,0,0.253,0.492,123.146,220293,4,F# major
4,4,4,4,3,4,4,3,3,4,4,5,3,3,3,3,2,3,3,4,4,4,5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,3,4,4,3,4,3,3,4,3,4,4,3,4,4,4,1,1,1,1,1,0,0,1,1,1,2,1,2,1,1,2,0,0,1,1,1,4,0,0,,1,1,5,6,,creepers - synkopate,because synko is lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,3,2,3,3,4,3,2,4,4,2,1,2,4,2,2,4,4,3,4,2,4,2,1,1,3,4,3,1,2,4,1,3,1,2,2,3,3,1,5,4,4,4,1,1,4,1,1,1,4,3,2,4,2,1,4,2,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,3,4,0,0,,1,2,4,15,I don't have one.,D - Codeine,I like to listen to it whenever but when im sad it fits in with my tempo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,2,2,3,3,3,4,3,2,2,3,4,4,4,4,3,4,3,1,3,2,1,1,2,1,4,4,2,1,2,1,4,1,1,1,1,4,4,1,4,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,,1,4,1,3,,Dance of the sugar plum fairy-Tchaikovsky,Soothing and delicate which I find uplifting in this context.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,4,5,2,3,4,4,3,3,4,4,3,3,2,1,4,4,4,5,3,2,3,4,3,3,1,3,4,2,1,3,1,4,3,2,1,1,2,2,3,4,4,3,2,1,3,1,2,2,3,2,1,2,1,2,3,2,4,2,1,"1,2",2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,6,1,0,,1,1,2,13,,Dancing in the sky ,Make some think about people close to me who I have lost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,1,5,5,1,1,5,5,3,3,4,2,2,5,5,5,3,4,5,3,5,5,1,1,3,5,1,3,5,5,4,4,5,5,1,1,3,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,2,2,1,2,2,3,2,2,3,2,1,1,2,1,0,2,2,2,0,0,,1,1,9,6,,David Bowie - Rock n Roll Suicide,Triumphant yet bittersweet,Study2MusicRecoveryFromSadness,1HBFSqAXLML13GqmqMsZ0o,https://api.spotify.com/v1/playlists/1HBFSqAXLML13GqmqMsZ0o/tracks?offset=0&limit=100,126,MTI5LDE2NDgwNWQ2YzA4NTM4N2E5YTYyNTJjMTY0ZmQ4MjhkMTlhMjQxYjg=,https://mosaic.scdn.co/640/62cbbb3ffd4dd111c11e8f0d2ac0c5dfa1585a1f79c42a551a5d7f7cd8dd5ddd6efdd089a3b6e8c4bd110da2257ffc812311537c8689b686f63cf71be1e39d7fc409f95d2b3c04964875fb0d7f1fe8a0,Rock 'N' Roll Suicide - 2012 Remastered Version,1k5iH4KDKi56MFvlnrALNV,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),https://i.scdn.co/image/65d1d0b438352ba17cbf4548f5e3b63b9455ca68,2018-12-29T17:55:23Z,54,https://p.scdn.co/mp3-preview/5822b5a7c1c13324d524b7d462ddb5c29c2a6a4d?cid=71df4006c91441bc8755ad3b5b9bd0d2,https://open.spotify.com/track/1k5iH4KDKi56MFvlnrALNV,0.457,0.308,C,-11.474,major,0.0398,0.309,1.50E-06,0.107,0.272,103.111,178266,3,C major
