id,MusicAccess,MusicAccessNo,Age,Gender,Ethnicity,Nationality,Sample,MARS1_1,MARS2_1,MARS3_1,MARS4_1,MARS5_1,MARS6_1,MARS7_1,MARS8_1,MARS9_1,MARS10_1,MARS11_1,MARS12_1,MARS13_1,MARS14_1,MARS15_1,POMSDSF1_1,POMSDSF2_1,POMSDSF3_1,POMSDSF4_1,POMSDSF5_1,POMSDSF6_1,POMSDSF7_1,POMSDSF8_1,Sadness_MIP,MIP_timing_3,POMSDSF1_2,POMSDSF2_2,POMSDSF3_2,POMSDSF4_2,POMSDSF5_2,POMSDSF6_2,POMSDSF7_2,POMSDSF8_2,Condition,Cond_Control,Control_timing_3,Cond_Chet,Chet_timing_3,Cond_SelfSelected,Cond_SS_Instructions,Cond_SS_Timer_3,SelfSelected_Song1,SelfSelected_Song2,track_name,artist_name,album_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,POMSDSF1_3,POMSDSF2_3,POMSDSF3_3,POMSDSF4_3,POMSDSF5_3,POMSDSF6_3,POMSDSF7_3,POMSDSF8_3,MusicInfo4_1,RRQ1_1,RRQ2_1,RRQ3_1,RRQ4_1,RRQ5_1,RRQ6_1,RRQ7_1,RRQ8_1,RRQ9_1,RRQ10_1,RRQ11_1,RRQ12_1,RRQ13_1,RRQ14_1,RRQ15_1,RRQ16_1,RRQ17_1,RRQ18_1,RRQ19_1,RRQ20_1,RRQ21_1,RRQ22_1,RRQ23_1,RRQ24_1
138,1, ,19,1,2,Singaporean,1,4,5,4,1,2,5,5,4,3,1,4,6,6,1,3,0,0,0,0,0,0,0,0,1,326.615,0,2,1,0,0,1,0,0,3, , , , ,3,1,285.373,Ain't Your Mama - Jennifer Lopez, ,Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,71,0.757,0.678,G#,-5.529,minor,0.233,0.0472,9.14E-06,0.0654,0.82,120.075,218235,4,G# minor,0,0,0,0,0,0,0,0,1,4,5,4,5,5,2,4,5,2,2,4,3,2,4,4,5,2,3,2,2,3,3,5,2
139,1, ,18,1,1,Australian,1,6,5,3,2,3,5,6,5,5,3,4,4,3,4,4,0,0,0,0,0,0,0,0,1,327.973,1,2,2,1,1,1,2,1,3, , , , ,3,1,285.018,Where You're At - Allen Stone, ,Where You’re At,Allen Stone,Radius (Deluxe Edition),33,0.625,0.636,C,-6.612,major,0.0404,0.148,0,0.201,0.573,140.002,159118,4,C major,1,2,2,1,1,1,1,0,3,4,5,5,4,4,2,4,4,2,1,3,5,3,4,2,4,3,2,3,3,4,2,2,5
140,1, ,20,1,2,Malaysian,1,5,4,1,4,3,6,5,7,5,1,4,7,2,7,7,1,1,1,0,0,0,0,0,1,328.053,3,3,3,0,1,1,0,0,3, , , , ,3,1,285.021,2am - Anna Nalick,Chasing Cars - Snow patrol,Breathe (2 AM),Anna Nalick,Wreck of the Day,61,0.386,0.452,D,-7.715,major,0.0278,0.417,0,0.0881,0.287,169.837,279827,3,D major,1,1,1,1,0,0,0,0,4,3,3,3,4,2,3,3,3,3,1,1,3,3,4,4,4,2,4,4,1,3,3,3,4
141,1, ,22,1,1,Australian,2,6,6,4,2,2,5,6,5,5,1,4,6,2,3,4,2,2,2,1,2,1,1,2,1,328.381,3,4,3,3,2,4,2,2,3, , , , ,3,1,284.992,"Me at the Museum, and You in the Wintergarden - Tiny Ruins",Straw Into Gold - Tiny Ruins,"Me At The Museum, You In The Wintergardens",Tiny Ruins,Brightly Painted One,25,0.365,0.251,G,-14.003,minor,0.0326,0.916,0.0151,0.106,0.223,89.999,155147,4,G minor,2,3,3,1,1,1,1,1,4,5,4,5,5,4,2,4,4,2,2,4,4,2,2,4,4,2,3,3,2,5,4,4,3
142,1, ,18,1,2,vietnamese,1,7,7,1,6,7,7,7,7,7,1,7,7,1,7,7,0,0,0,0,0,0,0,0,1,330.499,0,0,0,0,0,0,0,0,3, , , , ,3,1,285.018,I love you-Little Mix,Bed Rock-Young Money,I Love You,Little Mix,Get Weird (Deluxe),48,0.672,0.564,C,-5.818,major,0.0312,0.0983,0,0.115,0.378,99.979,249427,4,C major,0,0,0,0,0,0,0,0,1,1,1,1,5,5,1,3,3,3,5,3,5,5,1,3,3,3,2,2,2,2,2,2,2
143,1, ,18,0,5,Greek,1,5,5,3,2,3,5,6,6,6,2,4,5,3,2,5,0,0,0,0,0,0,0,0,1,335.311,3,3,3,3,3,3,3,2,3, , , , ,3,1,285.019,Chasing Cars - Snow Patrol, ,Chasing Cars,Snow Patrol,Eyes Open (International Package with bonus live tracks),72,0.56,0.595,A,-4.53,major,0.0274,0.199,6.47E-05,0.132,0.144,104.011,267960,4,A major,1,1,1,1,1,1,1,1,4,2,4,4,4,4,4,4,4,2,3,3,3,3,3,3,4,3,3,2,2,2,2,2,4
144,1, ,20,0,1,Australian,2,5,4,2,4,4,5,6,3,7,1,2,5,2,4,5,2,2,2,3,3,1,2,3,1,335.714,2,3,2,2,2,1,1,1,3, , , , ,3,1,285.051,Breathing in Stereo - Modern Baseball,What if - Modern Baseball,Breathing in Stereo,Modern Baseball,Holy Ghost,17,0.268,0.769,D,-6.206,major,0.0907,4.87E-05,1.31E-06,0.178,0.705,109.133,103306,3,D major,2,2,1,1,3,2,2,2,3,4,4,5,5,5,1,4,4,1,1,4,5,1,3,4,5,1,4,4,1,3,5,5,3
145,1, ,19,1,1,French,1,5,5,2,1,3,6,6,5,6,2,5,5,4,3,5,0,1,1,0,0,0,0,0,1,335.869,2,1,1,0,0,0,0,0,3, , , , ,3,1,284.992,En Cavale - Pomme, ,En cavale,Pomme,En cavale,31,0.593,0.392,B,-9.071,major,0.0347,0.677,0.00535,0.287,0.187,123.955,350287,4,B major,2,2,2,0,1,0,0,0,4,2,4,3,4,3,2,4,3,4,2,4,2,3,3,3,3,2,4,3,3,3,4,3,4
147,1, ,21,0,1,Australian,1,3,4,2,2,4,5,4,4,5,3,2,4,4,1,4,0,1,0,0,0,1,0,0,1,340.509,0,1,0,0,0,1,0,0,3, , , , ,3,1,285.021,O Fortuna - Seiji Ozawa,Fortune Plango Vulnera - Seiji Ozawa,Carmina Burana: O Fortuna,Carl Orff,Orff: Carmina burana,0,0.346,0.199,D,-19.307,minor,0.0306,0.638,0.00509,0.169,0.404,142.557,158427,4,D minor,0,1,0,0,0,1,0,0,3,2,4,4,4,4,3,2,2,3,3,2,3,1,4,2,4,3,3,5,3,2,4,3,4
148,1, ,20,0,2,Hong Kong,1,7,7,3,5,5,7,7,6,7,2,7,6,2,5,7,0,0,0,0,0,0,0,0,1,347.359,3,4,3,2,1,3,4,1,3, , , , ,3,1,285.71,Madness - Muse, ,Madness,Muse,The 2nd Law,68,0.502,0.417,A#,-7.665,major,0.0718,0.127,0.00419,0.106,0.218,180.301,281040,4,A# major,1,1,1,0,0,1,0,0,3,2,4,5,4,2,2,5,4,3,5,4,2,2,2,5,5,2,5,4,1,4,4,5,2
149,1, ,19,1,1,Australian,2,7,7,3,5,3,6,5,5,6,2,5,5,3,4,5,0,0,0,0,0,0,0,0,1,348.85,1,1,1,0,1,1,1,0,3, , , , ,3,1,285.015,Black Dress - Kisschasy, ,Black Dress,Kisschasy,United Paper People,25,0.361,0.343,B,-9.047,major,0.0325,0.837,0.000213,0.278,0.118,118.314,280680,4,B major,1,1,2,0,0,0,0,0,5,4,5,4,5,4,2,4,4,2,4,4,4,1,5,1,3,3,3,3,4,2,3,3,4
150,1, ,20,0,1,Australian,1,6,5,3,2,4,4,4,5,5,3,5,5,2,1,5,3,2,2,2,1,1,1,1,1,352.472,1,1,2,0,0,1,0,1,3, , , , ,3,1,285.023,Holy Roller - Thao,Eventually - Tame Impala,Holy Roller,Thao & The Get Down Stay Down,We the Common,30,0.73,0.59,C#,-6.26,minor,0.075,0.0759,0.000106,0.088,0.144,83.386,156147,4,C# minor,1,0,1,0,1,0,0,1,3,4,2,4,4,4,2,4,4,2,1,3,4,2,2,4,4,2,4,4,2,4,4,4,4
151,1, ,20,1,1,Australian,2,5,6,3,2,2,6,7,6,6,2,6,7,3,4,5,1,0,0,1,1,1,0,0,1,426.714,1,1,1,1,1,0,1,1,3, , , , ,3,1,283,Holocene - Bon Iver, ,Holocene,Bon Iver,Bon Iver,68,0.375,0.304,C#,-14.52,major,0.0302,0.943,0.303,0.126,0.147,147.989,336613,4,C# major,0,1,0,0,0,0,0,1,3,4,4,4,4,4,2,4,5,2,4,4,4,1,1,5,5,1,5,5,1,5,5,5,1
